channel,video_count,avg_views,median_views,std_views,min_views,max_views,avg_title_length,vfx_ratio,short_film_ratio,quote_ratio,colon_ratio,avg_desc_length,cta_ratio,social_ratio,avg_posting_hour,avg_posting_dow,consistency,view_range,reliability,avg_views_percentile,median_views_percentile,video_count_percentile,vfx_ratio_percentile,short_film_ratio_percentile,cta_ratio_percentile,social_ratio_percentile,performance_tier
UC-1rx8j9Ggp8mp4uD0ZdEIA,5065,342336.283,14788.0,2555790.749,0,78956285,67.135,0.936,0.429,0.968,0.916,1626.746,0.821,0.768,12.096,2.98,-6.465731434023895,78956285,1.0,0.7391304347826086,0.5869565217391305,1.0,0.9782608695652174,0.717391304347826,0.6739130434782609,0.6304347826086957,High
UC-vrN89jIox3XqAKbEMeFgQ,19,2605055.737,739650.0,4362447.095,154744,16697107,50.0,0.0,1.0,0.0,0.0,879.737,0.053,0.684,13.789,2.526,-0.6746079682824073,16542363,0.38,0.9565217391304348,0.9782608695652174,0.14130434782608695,0.42391304347826086,0.967391304347826,0.17391304347826086,0.6086956521739131,Elite
UC2zrmdd_rWlMc2rAufX9bSg,31,30074.452,10056.0,72117.628,2845,376085,29.032,0.0,0.0,0.0,0.0,2528.839,0.677,0.097,11.677,3.548,-1.3979698117192623,373240,0.62,0.30434782608695654,0.5217391304347826,0.42391304347826086,0.42391304347826086,0.21739130434782608,0.5217391304347826,0.30434782608695654,Medium
UC6P24bhhCmMPOcujA9PKPTA,1111,170225.689,77960.0,300673.816,0,3833843,40.001,0.036,0.04,0.013,0.261,1288.766,0.456,0.841,14.576,2.302,-0.7663245645608752,3833843,1.0,0.6304347826086957,0.8043478260869565,0.9347826086956522,0.9565217391304348,0.5217391304347826,0.45652173913043476,0.6956521739130435,High
UC6qhhbnMeoOPFBf-cjUgn3g,16,12037.062,998.5,29840.882,225,121026,63.625,0.0,0.0,0.0,0.0,954.438,0.0,1.0,14.0,3.75,-1.4790835172237213,120801,0.32,0.10869565217391304,0.21739130434782608,0.08695652173913043,0.42391304347826086,0.21739130434782608,0.07608695652173914,0.9782608695652174,Medium
UC71x8bBOwIEscxAltguHXMQ,444,104318.752,5660.0,541748.471,337,6290934,40.583,0.009,0.185,0.005,0.05,298.586,0.097,0.327,15.5,3.014,-4.193203145298365,6290597,1.0,0.5217391304347826,0.3695652173913043,0.8260869565217391,0.8913043478260869,0.5869565217391305,0.21739130434782608,0.5217391304347826,High
UC7sDT8jZ76VLV1u__krUutA,912,452425.834,110601.0,2139361.069,1249,39135314,48.022,0.0,0.78,0.872,0.356,2424.796,0.995,0.975,15.249,2.534,-3.7286448036917363,39134065,1.0,0.7608695652173914,0.8478260869565217,0.9130434782608695,0.42391304347826086,0.8695652173913043,0.8695652173913043,0.8478260869565217,High
UC8P49XCWzrcRVF1kct7BneA,221,70578.127,1225.0,550978.448,262,7466244,88.104,0.009,0.973,0.968,0.005,1266.158,1.0,0.995,14.29,2.145,-6.806645931536268,7465982,1.0,0.391304347826087,0.2608695652173913,0.782608695652174,0.8913043478260869,0.9130434782608695,0.9565217391304348,0.9130434782608695,Medium
UC9DAY2JD9zy9zKA5OtwpNtw,50,14635.38,738.5,63204.879,27,422789,37.44,0.0,0.0,0.18,0.02,655.72,0.36,0.16,15.04,2.7,-3.3186360039848646,422762,1.0,0.17391304347826086,0.08695652173913043,0.4782608695652174,0.42391304347826086,0.21739130434782608,0.3695652173913043,0.43478260869565216,Medium
UC9pJs4nFKM9xuW_enR4hHig,17,74624.118,8052.0,188702.27,1303,762439,29.176,0.0,1.0,0.0,0.0,1145.882,0.882,0.941,11.588,3.588,-1.5287035218292293,761136,0.34,0.41304347826086957,0.45652173913043476,0.10869565217391304,0.42391304347826086,0.967391304347826,0.6956521739130435,0.782608695652174,Medium
UCCykQNoqyABmoa3ZoaU93XA,30,61281.233,13488.5,168016.518,3074,915248,36.633,0.0,0.0,0.0,0.033,776.5,0.7,0.0,13.967,3.067,-1.7417287442633542,912174,0.6,0.3695652173913043,0.5434782608695652,0.3804347826086957,0.42391304347826086,0.21739130434782608,0.5434782608695652,0.07608695652173914,Medium
UCDp2VWtNgiaTjkhfCvdZmjA,19,96776.474,312.0,417143.55,15,1819343,40.579,0.0,0.158,0.0,0.053,496.737,0.0,0.053,13.947,2.579,-3.310381777290212,1819328,0.38,0.5,0.021739130434782608,0.14130434782608695,0.42391304347826086,0.5652173913043478,0.07608695652173914,0.1956521739130435,Medium
UCFfovcqnybrMbIrNjyND-nA,68,25156.397,975.5,117023.822,78,863816,59.544,0.0,0.515,0.015,0.118,950.162,0.735,0.676,9.191,3.515,-3.6518514555164634,863738,1.0,0.2391304347826087,0.17391304347826086,0.5434782608695652,0.42391304347826086,0.7391304347826086,0.5869565217391305,0.5869565217391305,Medium
UCFhLnzPQFjTtlUuf39emMfg,23,152563.739,27989.0,417175.894,5719,2031816,31.174,0.0,0.0,0.0,0.0,887.739,0.957,0.957,12.609,3.739,-1.7344367458115322,2026097,0.46,0.5652173913043478,0.6521739130434783,0.2826086956521739,0.42391304347826086,0.21739130434782608,0.782608695652174,0.8043478260869565,High
